feature,shap_mean_abs_sparse
user__cpu_user_mean,0.15843003864139396
user__network_transmit_bytes_mean,0.07811668075752114
web__network_transmit_packets_mean,0.07718086621148905
user__network_receive_packets_mean,0.05523565966957303
user__network_receive_bytes_std,0.03453053482570871
web__memory_working_set_bytes_mean,0.032510128580873175
mongodb__cpu_user_mean,0.024919909609824716
dispatch__network_receive_packets_mean,0.022209829236232215
dispatch__network_receive_packets_std,0.018146607325104112
rabbitmq__cpu_user_mean,0.01208114326470465
dispatch__cpu_user_mean,0.009108513965798159
web__cpu_user_mean,0.006695602316074922
catalogue__rt_ratings_get_catalogue_mean,0.005571419456603843
cart__cpu_user_mean,0.0
catalogue__rt_caget_catalogue_mean,0.0
dispatch__cpu_system_mean,0.0
mongo__rt_catalogue_get_mongo_cate_std,0.0
user__network_receive_errors_mean,0.0
mongodb__fs_usage_bytes_mean,0.0
rabbitmq__network_transmit_bytes_std,0.0
user__network_receive_packets_dropped_mean,0.0
user__network_receive_packets_dropped_std,0.0
user__network_transmit_errors_mean,0.0
user__network_transmit_errors_std,0.0
