feature,shap_mean_abs_sparse,rank_sparse,shap_mean_abs_full,rank_full,spearman_rho,spearman_pval
user__cpu_user_mean,0.15843003864139396,1,0.0,198,-0.13304347826086957,0.5354237325436195
user__network_transmit_bytes_mean,0.07811668075752114,2,0.06668207098022592,2,-0.13304347826086957,0.5354237325436195
web__network_transmit_packets_mean,0.07718086621148905,3,0.0,146,-0.13304347826086957,0.5354237325436195
user__network_receive_packets_mean,0.05523565966957303,4,0.0,126,-0.13304347826086957,0.5354237325436195
user__network_receive_bytes_std,0.03453053482570871,5,0.0,181,-0.13304347826086957,0.5354237325436195
web__memory_working_set_bytes_mean,0.032510128580873175,6,0.0,262,-0.13304347826086957,0.5354237325436195
mongodb__cpu_user_mean,0.024919909609824716,7,0.0,389,-0.13304347826086957,0.5354237325436195
dispatch__network_receive_packets_mean,0.022209829236232215,8,0.0,370,-0.13304347826086957,0.5354237325436195
dispatch__network_receive_packets_std,0.018146607325104112,9,0.0,369,-0.13304347826086957,0.5354237325436195
rabbitmq__cpu_user_mean,0.01208114326470465,10,0.0,78,-0.13304347826086957,0.5354237325436195
dispatch__cpu_user_mean,0.009108513965798159,11,0.0,243,-0.13304347826086957,0.5354237325436195
web__cpu_user_mean,0.006695602316074922,12,0.0,113,-0.13304347826086957,0.5354237325436195
catalogue__rt_ratings_get_catalogue_mean,0.005571419456603843,13,0.0,249,-0.13304347826086957,0.5354237325436195
cart__cpu_user_mean,0.0,14,0.0,142,-0.13304347826086957,0.5354237325436195
catalogue__rt_caget_catalogue_mean,0.0,15,0.0,251,-0.13304347826086957,0.5354237325436195
dispatch__cpu_system_mean,0.0,16,0.0,247,-0.13304347826086957,0.5354237325436195
mongo__rt_catalogue_get_mongo_cate_std,0.0,17,0.0,360,-0.13304347826086957,0.5354237325436195
user__network_receive_errors_mean,0.0,18,0.0,180,-0.13304347826086957,0.5354237325436195
mongodb__fs_usage_bytes_mean,0.0,19,0.0,398,-0.13304347826086957,0.5354237325436195
rabbitmq__network_transmit_bytes_std,0.0,20,0.0,101,-0.13304347826086957,0.5354237325436195
user__network_receive_packets_dropped_mean,0.0,21,0.0,128,-0.13304347826086957,0.5354237325436195
user__network_receive_packets_dropped_std,0.0,22,0.0,127,-0.13304347826086957,0.5354237325436195
user__network_transmit_errors_mean,0.0,23,0.0,123,-0.13304347826086957,0.5354237325436195
user__network_transmit_errors_std,0.0,24,0.0,122,-0.13304347826086957,0.5354237325436195
