timestamp,container_fs_usage_bytes,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_fs_io_time_seconds_total,container_memory_failures_total,container_memory_failcnt,container_fs_write_seconds_total
2023-03-28 12:40:04.521000+00:00,135168.0,66502656.0,175140864.0,167632896.0,2.38,0.021131132,7.11,573859.0,0.0,0.0,5294.0,709328.0,0.0,0.0,2654.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:08.294000+00:00,135168.0,66502656.0,175140864.0,167723008.0,2.39,0.021131132,7.14,577267.0,0.0,0.0,5323.0,712043.0,0.0,0.0,2670.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:14.235000+00:00,135168.0,66502656.0,175140864.0,167628800.0,2.4,0.021131132,7.17,586365.0,0.0,0.0,5409.0,724186.0,0.0,0.0,2712.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:19.094000+00:00,135168.0,66502656.0,175140864.0,167624704.0,2.42,0.021131132,7.22,595374.0,0.0,0.0,5483.0,734166.0,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:24.595000+00:00,135168.0,66502656.0,175267840.0,167755776.0,2.44,0.021131132,7.25,606357.0,0.0,0.0,5583.0,748196.0,0.0,0.0,2798.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:29.773000+00:00,135168.0,66502656.0,175267840.0,167755776.0,2.47,0.021131132,7.3,606357.0,0.0,0.0,5583.0,748196.0,0.0,0.0,2798.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:34.041000+00:00,135168.0,66502656.0,175239168.0,167727104.0,2.48,0.021131132,7.34,625833.0,0.0,0.0,5729.0,767356.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:38.780000+00:00,135168.0,66502656.0,175108096.0,167596032.0,2.5,0.021131132,7.38,631351.0,0.0,0.0,5776.0,770574.0,0.0,0.0,2894.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:43.574000+00:00,135168.0,66510848.0,175149056.0,167636992.0,2.5,0.021131132,7.43,640805.0,0.0,0.0,5857.0,783248.0,0.0,0.0,2936.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:48.753000+00:00,135168.0,66510848.0,175022080.0,167505920.0,2.52,0.021131132,7.47,646388.0,0.0,0.0,5911.0,789619.0,0.0,0.0,2962.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:54.075000+00:00,135168.0,66519040.0,175165440.0,167649280.0,2.53,0.021131132,7.52,657208.0,0.0,0.0,5988.0,803650.0,0.0,0.0,3002.0,0.0,0.0,0.0,0.0
2023-03-28 12:40:58.696000+00:00,135168.0,66519040.0,175124480.0,167608320.0,2.54,0.021131132,7.57,664071.0,0.0,0.0,6053.0,811419.0,0.0,0.0,3034.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:04.080000+00:00,135168.0,66519040.0,175423488.0,167907328.0,2.56,0.021131132,7.62,669902.0,0.0,0.0,6103.0,815263.0,0.0,0.0,3058.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:08.824000+00:00,135168.0,66519040.0,175136768.0,167620608.0,2.57,0.021131132,7.67,673654.0,0.0,0.0,6134.0,817700.0,0.0,0.0,3074.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:14.251000+00:00,135168.0,66519040.0,175046656.0,167530496.0,2.59,0.021131132,7.72,680490.0,0.0,0.0,6198.0,826319.0,0.0,0.0,3106.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:18.737000+00:00,135168.0,66519040.0,175177728.0,167657472.0,2.61,0.005969634,7.72,688176.0,0.0,0.0,6272.0,837217.0,0.0,0.0,3142.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:24.468000+00:00,135168.0,66519040.0,175046656.0,167526400.0,2.63,0.021131132,7.82,698389.0,0.0,0.0,6362.0,849747.0,0.0,0.0,3188.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:28.880000+00:00,135168.0,66519040.0,175046656.0,167526400.0,2.64,0.021131132,7.87,698389.0,0.0,0.0,6362.0,849747.0,0.0,0.0,3188.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:34.556000+00:00,135168.0,66519040.0,175177728.0,167657472.0,2.65,0.021131132,7.93,715205.0,0.0,0.0,6494.0,870687.0,0.0,0.0,3254.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:39.675000+00:00,135168.0,66519040.0,175177728.0,167522304.0,2.67,0.021131132,7.99,733855.0,0.0,0.0,6668.0,901342.0,0.0,0.0,3343.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:43.941000+00:00,135168.0,66519040.0,175046656.0,167526400.0,2.68,0.021131132,8.02,741817.0,0.0,0.0,6735.0,911895.0,0.0,0.0,3375.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:48.319000+00:00,135168.0,66519040.0,175136768.0,167616512.0,2.71,0.021131132,8.08,752063.0,0.0,0.0,6834.0,928285.0,0.0,0.0,3425.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:54.379000+00:00,135168.0,66519040.0,175054848.0,167534592.0,2.74,0.021131132,8.15,767993.0,0.0,0.0,6950.0,948967.0,0.0,0.0,3484.0,0.0,0.0,0.0,0.0
2023-03-28 12:41:59.673000+00:00,135168.0,66519040.0,175054848.0,167534592.0,2.76,0.021131132,8.2,767993.0,0.0,0.0,6950.0,948967.0,0.0,0.0,3484.0,0.0,0.0,0.0,0.0
2023-03-28 12:42:03.714000+00:00,135168.0,66523136.0,175329280.0,167800832.0,2.77,0.021131132,8.24,785810.0,0.0,0.0,7076.0,970863.0,0.0,0.0,3548.0,0.0,0.0,0.0,0.0
2023-03-28 12:42:09.601000+00:00,135168.0,66523136.0,175071232.0,167542784.0,2.8,0.021131132,8.29,790447.0,0.0,0.0,7120.0,974088.0,0.0,0.0,3570.0,0.0,0.0,0.0,0.0
2023-03-28 12:42:14.257000+00:00,135168.0,66523136.0,175206400.0,167677952.0,2.81,0.021338425,8.34,804848.0,0.0,0.0,7247.0,992429.0,0.0,0.0,3634.0,0.0,0.0,0.0,0.0
2023-03-28 12:42:18.134000+00:00,135168.0,66523136.0,175153152.0,167624704.0,2.82,0.021734223,8.4,814982.0,0.0,0.0,7344.0,1008424.0,0.0,0.0,3682.0,0.0,0.0,0.0,0.0
