timestamp,container_fs_usage_bytes,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_fs_io_time_seconds_total,container_memory_failures_total,container_memory_failcnt,container_fs_write_seconds_total
2023-03-01 02:21:24.593000+00:00,,43053056.0,47636480.0,47636480.0,0.16,0.005054003,,8097.0,0.0,0.0,44.0,3196.0,0.0,0.0,12.0,,0.0,,
2023-03-01 02:21:29.583000+00:00,,,28053504.0,28053504.0,0.22,0.005054003,1.31,9050.0,0.0,0.0,57.0,5796.0,0.0,0.0,15.0,0.0,,,
2023-03-01 02:21:34.320000+00:00,45056.0,23482368.0,28000256.0,28000256.0,0.22,0.005054003,1.32,9524.0,0.0,0.0,61.0,8312.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:38.616000+00:00,,22384640.0,26890240.0,26890240.0,0.22,0.005054003,,9993.0,0.0,0.0,64.0,10828.0,0.0,0.0,17.0,,0.0,,
2023-03-01 02:21:43.801000+00:00,45056.0,22593536.0,27111424.0,27111424.0,0.24,0.005054003,1.48,10355.0,0.0,0.0,66.0,13344.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:48.631000+00:00,,22704128.0,27222016.0,27222016.0,0.24,0.005054003,1.49,10717.0,0.0,0.0,68.0,15860.0,0.0,0.0,19.0,,0.0,0.0,
2023-03-01 02:21:54.396000+00:00,45056.0,22876160.0,27389952.0,27389952.0,0.26,0.005054003,1.56,11256.0,0.0,0.0,72.0,18376.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:58.441000+00:00,,,,,0.26,0.005054003,1.56,11618.0,0.0,0.0,74.0,20892.0,0.0,0.0,21.0,,,,
2023-03-01 02:22:03.858000+00:00,45056.0,22884352.0,27402240.0,27402240.0,0.28,0.005054003,1.67,17189.0,0.0,0.0,121.0,28624.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
2023-03-01 02:22:08.758000+00:00,,23420928.0,28098560.0,28098560.0,0.29,0.005054003,,31694.0,0.0,0.0,238.0,45730.0,0.0,0.0,167.0,,0.0,,
