timestamp,container_fs_usage_bytes,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_fs_io_time_seconds_total,container_memory_failures_total,container_memory_failcnt,container_fs_write_seconds_total
2023-03-20 09:33:33.282000+00:00,,3047424.0,3919872.0,3919872.0,0.14,0.01836183,,48235.0,0.0,0.0,332.0,34747.0,0.0,0.0,165.0,,0.0,,
2023-03-20 09:33:38.112000+00:00,,3051520.0,3919872.0,3919872.0,0.14,0.033044479,0.2,55034.0,0.0,0.0,373.0,39255.0,0.0,0.0,189.0,0.0,0.0,0.0,
2023-03-20 09:33:43.291000+00:00,,3051520.0,3919872.0,3932160.0,0.14,0.004371729,0.21,58254.0,0.0,0.0,386.0,41722.0,0.0,0.0,197.0,0.0,0.0,0.0,
2023-03-20 09:33:48.141000+00:00,,3059712.0,3805184.0,3805184.0,0.15,0.013052521,0.21,58254.0,0.0,0.0,386.0,41722.0,0.0,0.0,197.0,0.0,0.0,0.0,
2023-03-20 09:33:54.333000+00:00,45056.0,3059712.0,3932160.0,3923968.0,0.16,0.021037906,0.23,61297.0,0.0,0.0,410.0,43592.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0
2023-03-20 09:33:58.609000+00:00,45056.0,3059712.0,3792896.0,3792896.0,0.16,0.028971411,0.23,61297.0,0.0,0.0,410.0,43592.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:04.552000+00:00,45056.0,3051520.0,3928064.0,3928064.0,0.16,0.036464406,0.24,63948.0,0.0,0.0,423.0,45458.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:08.718000+00:00,45056.0,3051520.0,3923968.0,3923968.0,0.16,0.041931849,0.25,67949.0,0.0,0.0,447.0,47908.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:14.610000+00:00,45056.0,3051520.0,3923968.0,3923968.0,0.17,0.041931849,0.25,67949.0,0.0,0.0,447.0,47908.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:18.907000+00:00,45056.0,3051520.0,3928064.0,3928064.0,0.18,0.041931849,0.27,69954.0,0.0,0.0,460.0,49016.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:23.187000+00:00,45056.0,3051520.0,3932160.0,3932160.0,0.18,0.043762279,0.27,69954.0,0.0,0.0,460.0,49016.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:29.487000+00:00,45056.0,3055616.0,3817472.0,3817472.0,0.18,0.043762279,0.27,81279.0,0.0,0.0,523.0,57448.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:34.166000+00:00,45056.0,3055616.0,4059136.0,4059136.0,0.2,0.043762279,0.27,87580.0,0.0,0.0,560.0,62105.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:38.890000+00:00,45056.0,3055616.0,3932160.0,3928064.0,0.2,0.043762279,0.27,93234.0,0.0,0.0,597.0,65342.0,0.0,0.0,323.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:44.036000+00:00,45056.0,3055616.0,3932160.0,3928064.0,0.2,0.043762279,0.28,98883.0,0.0,0.0,623.0,69416.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:48.797000+00:00,45056.0,3051520.0,3805184.0,3805184.0,0.21,0.043762279,0.29,103467.0,0.0,0.0,647.0,72637.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:53.857000+00:00,45056.0,3051520.0,3923968.0,3923968.0,0.22,0.043762279,0.29,105124.0,0.0,0.0,659.0,74023.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0
2023-03-20 09:34:59.728000+00:00,45056.0,3051520.0,3923968.0,3932160.0,0.22,0.043762279,0.3,108493.0,0.0,0.0,680.0,76291.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0
2023-03-20 09:35:03.948000+00:00,45056.0,3059712.0,3932160.0,3932160.0,0.22,0.043762279,0.3,110775.0,0.0,0.0,693.0,78203.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0
2023-03-20 09:35:08.538000+00:00,45056.0,3051520.0,3932160.0,3932160.0,0.22,0.043762279,0.31,110775.0,0.0,0.0,693.0,78203.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0
2023-03-20 09:35:14.486000+00:00,45056.0,3051520.0,3932160.0,3932160.0,0.22,0.043762279,0.31,110775.0,0.0,0.0,713.0,80809.0,0.0,0.0,395.0,0.0,0.0,0.0,0.0
