timestamp,container_fs_usage_bytes,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_fs_io_time_seconds_total,container_memory_failures_total,container_memory_failcnt,container_fs_write_seconds_total
2023-03-21 04:41:04.291000+00:00,81920.0,34996224.0,37900288.0,37900288.0,0.59,0.071570592,2.52,69294.0,0.0,0.0,720.0,281513.0,0.0,0.0,712.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:08.441000+00:00,81920.0,34996224.0,37900288.0,37900288.0,0.6,0.071570592,2.52,71449.0,0.0,0.0,741.0,288339.0,0.0,0.0,737.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:14.715000+00:00,81920.0,34996224.0,37761024.0,37761024.0,0.6,0.071570592,2.6,72416.0,0.0,0.0,752.0,293536.0,0.0,0.0,748.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:19.815000+00:00,81920.0,34996224.0,37761024.0,37765120.0,0.62,0.071570592,2.69,77500.0,0.0,0.0,794.0,308951.0,0.0,0.0,797.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:24.328000+00:00,81920.0,34996224.0,37769216.0,37769216.0,0.62,0.071570592,2.73,83008.0,0.0,0.0,831.0,317095.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:29.647000+00:00,81920.0,34996224.0,37769216.0,37769216.0,0.63,0.071570592,2.82,83008.0,0.0,0.0,831.0,317095.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:34.127000+00:00,81920.0,35028992.0,37801984.0,37801984.0,0.63,0.071570592,2.86,90411.0,0.0,0.0,891.0,335499.0,0.0,0.0,916.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:38.864000+00:00,81920.0,35028992.0,37806080.0,37806080.0,0.66,0.000923771,2.94,94415.0,0.0,0.0,923.0,345379.0,0.0,0.0,954.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:44.358000+00:00,81920.0,35033088.0,37814272.0,37814272.0,0.66,0.022960014,2.97,98389.0,0.0,0.0,955.0,355371.0,0.0,0.0,992.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:49.179000+00:00,81920.0,35033088.0,37814272.0,37814272.0,0.68,0.022960014,3.06,102078.0,0.0,0.0,982.0,364283.0,0.0,0.0,1023.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:54.863000+00:00,81920.0,35037184.0,38076416.0,38076416.0,0.69,0.022960014,3.17,115865.0,0.0,0.0,1090.0,392837.0,0.0,0.0,1155.0,0.0,0.0,0.0,0.0
2023-03-21 04:41:59.560000+00:00,81920.0,35049472.0,38264832.0,38264832.0,0.7,0.022960014,3.17,124633.0,0.0,0.0,1153.0,406163.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:04.580000+00:00,110592.0,35053568.0,37834752.0,37834752.0,0.71,0.033439163,3.36,131457.0,0.0,0.0,1203.0,418986.0,0.0,0.0,1294.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:09.567000+00:00,110592.0,35053568.0,37834752.0,37834752.0,0.73,0.033439163,3.47,131457.0,0.0,0.0,1203.0,434605.0,0.0,0.0,1369.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:14.004000+00:00,110592.0,35053568.0,37838848.0,37838848.0,0.74,0.033439163,3.51,144432.0,0.0,0.0,1310.0,447419.0,0.0,0.0,1427.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:19.523000+00:00,110592.0,35053568.0,37838848.0,37867520.0,0.76,0.033439163,3.51,159461.0,0.0,0.0,1416.0,473052.0,0.0,0.0,1559.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:24.081000+00:00,110592.0,35053568.0,37847040.0,37847040.0,0.76,0.033439163,3.74,166241.0,0.0,0.0,1471.0,487267.0,0.0,0.0,1626.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:28.872000+00:00,110592.0,35053568.0,37847040.0,37847040.0,0.78,0.033439163,3.83,166241.0,0.0,0.0,1471.0,487267.0,0.0,0.0,1626.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:34.507000+00:00,110592.0,35053568.0,37826560.0,37826560.0,0.78,0.033439163,3.84,171410.0,0.0,0.0,1516.0,502741.0,0.0,0.0,1677.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:39.298000+00:00,110592.0,35053568.0,37826560.0,38297600.0,0.8,0.033439163,3.9,172377.0,0.0,0.0,1527.0,507994.0,0.0,0.0,1688.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:43.992000+00:00,110592.0,35053568.0,37842944.0,37842944.0,0.8,0.033439163,3.94,176105.0,0.0,0.0,1559.0,517397.0,0.0,0.0,1726.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:48.956000+00:00,110592.0,35053568.0,37830656.0,37830656.0,0.8,0.033439163,3.94,177072.0,0.0,0.0,1570.0,522650.0,0.0,0.0,1737.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:53.383000+00:00,110592.0,35053568.0,37842944.0,37842944.0,0.81,0.033439163,4.0,178113.0,0.0,0.0,1582.0,527969.0,0.0,0.0,1749.0,0.0,0.0,0.0,0.0
2023-03-21 04:42:59.071000+00:00,139264.0,35053568.0,37842944.0,37842944.0,0.81,0.033439163,4.02,178113.0,0.0,0.0,1582.0,527969.0,0.0,0.0,1749.0,0.0,0.0,0.0,0.0
2023-03-21 04:43:04.836000+00:00,139264.0,35057664.0,37957632.0,37957632.0,0.83,0.000335049,4.14,187078.0,0.0,0.0,1655.0,552366.0,0.0,0.0,1831.0,0.0,0.0,0.0,0.0
2023-03-21 04:43:09.181000+00:00,139264.0,35057664.0,37830656.0,37830656.0,0.84,0.000335049,4.14,190071.0,0.0,0.0,1678.0,556974.0,0.0,0.0,1860.0,0.0,0.0,0.0,0.0
2023-03-21 04:43:13.909000+00:00,139264.0,35057664.0,37847040.0,37847040.0,0.86,0.000335049,4.22,191038.0,0.0,0.0,1689.0,562227.0,0.0,0.0,1871.0,0.0,0.0,0.0,0.0
2023-03-21 04:43:18.464000+00:00,139264.0,35057664.0,37826560.0,37826560.0,0.86,0.000335049,4.28,197769.0,0.0,0.0,1742.0,576428.0,0.0,0.0,1936.0,0.0,0.0,0.0,0.0
