timestamp,rt_payment_delete_cart_count,rt_payment_delete_cart_sum
2023-03-20 03:26:04.727000+00:00,11.0,
2023-03-20 03:26:09.727000+00:00,13.0,15.0
2023-03-20 03:26:14.727000+00:00,15.0,17.0
2023-03-20 03:26:19.727000+00:00,16.0,6.0
2023-03-20 03:26:24.727000+00:00,16.0,0.0
2023-03-20 03:26:29.727000+00:00,18.0,18.0
2023-03-20 03:26:34.727000+00:00,18.0,0.0
2023-03-20 03:26:39.727000+00:00,18.0,0.0
2023-03-20 03:26:44.727000+00:00,18.0,0.0
2023-03-20 03:26:49.727000+00:00,20.0,17.0
2023-03-20 03:26:54.727000+00:00,24.0,33.0
2023-03-20 03:26:59.727000+00:00,24.0,0.0
2023-03-20 03:27:04.727000+00:00,24.0,0.0
2023-03-20 03:27:09.727000+00:00,25.0,7.0
2023-03-20 03:27:14.727000+00:00,25.0,0.0
2023-03-20 03:27:19.727000+00:00,27.0,14.0
2023-03-20 03:27:24.727000+00:00,29.0,13.0
2023-03-20 03:27:29.727000+00:00,30.0,8.0
2023-03-20 03:27:34.727000+00:00,30.0,0.0
2023-03-20 03:27:39.727000+00:00,30.0,0.0
2023-03-20 03:27:44.727000+00:00,32.0,17.0
2023-03-20 03:27:49.727000+00:00,35.0,24.0
2023-03-20 03:27:54.727000+00:00,37.0,17.0
2023-03-20 03:27:59.727000+00:00,37.0,0.0
2023-03-20 03:28:04.727000+00:00,38.0,11.0
2023-03-20 03:28:09.727000+00:00,40.0,15.0
2023-03-20 03:28:14.727000+00:00,42.0,19.0
2023-03-20 03:28:19.727000+00:00,44.0,14.0
2023-03-20 03:28:24.727000+00:00,44.0,0.0
2023-03-20 03:28:29.727000+00:00,46.0,16.0
2023-03-20 03:28:34.727000+00:00,48.0,15.0
2023-03-20 03:28:39.727000+00:00,49.0,7.0
2023-03-20 03:28:44.727000+00:00,51.0,19.0
2023-03-20 03:28:49.727000+00:00,52.0,7.0
2023-03-20 03:28:54.727000+00:00,53.0,6.0
2023-03-20 03:28:59.727000+00:00,53.0,0.0
2023-03-20 03:29:04.727000+00:00,55.0,20.0
2023-03-20 03:29:09.727000+00:00,57.0,18.0
2023-03-20 03:29:14.727000+00:00,57.0,0.0
2023-03-20 03:29:19.727000+00:00,60.0,22.0
2023-03-20 03:29:24.727000+00:00,60.0,0.0
2023-03-20 03:29:29.727000+00:00,63.0,29.0
2023-03-20 03:29:34.727000+00:00,65.0,28.0
2023-03-20 03:29:39.727000+00:00,65.0,0.0
2023-03-20 03:29:44.727000+00:00,66.0,7.0
2023-03-20 03:29:49.727000+00:00,70.0,34.0
2023-03-20 03:29:54.727000+00:00,71.0,8.0
2023-03-20 03:29:59.727000+00:00,75.0,52.0
2023-03-20 03:30:04.727000+00:00,76.0,6.0
