timestamp,rt_cart_delete_redis_count,rt_cart_delete_redis_sum,rt_cart_get_redis_count,rt_cart_get_redis_sum,rt_cart_post_redis_count,rt_cart_post_redis_sum,rt_user_get_redis_count,rt_user_get_redis_sum
2023-03-01 02:21:20.409000+00:00,0.0,,0.0,,0.0,,0.0,
2023-03-01 02:21:25.409000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:30.409000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:35.409000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:40.409000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:45.409000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:50.409000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01 02:21:55.409000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01 02:22:00.409000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01 02:22:05.409000+00:00,0.0,0.0,4.0,2.0,3.0,1.0,2.0,1.0
2023-03-01 02:22:10.409000+00:00,0.0,0.0,23.0,3.0,17.0,1.0,8.0,2.0
2023-03-01 02:22:15.409000+00:00,0.0,0.0,43.0,1.0,31.0,0.0,12.0,0.0
2023-03-01 02:22:20.409000+00:00,0.0,0.0,62.0,4.0,45.0,4.0,18.0,1.0
2023-03-01 02:22:25.409000+00:00,0.0,0.0,106.0,6.0,77.0,4.0,33.0,5.0
2023-03-01 02:22:30.409000+00:00,0.0,0.0,137.0,4.0,100.0,1.0,41.0,0.0
2023-03-01 02:22:35.409000+00:00,0.0,0.0,189.0,8.0,138.0,2.0,53.0,2.0
2023-03-01 02:22:40.409000+00:00,0.0,0.0,226.0,8.0,165.0,4.0,67.0,3.0
2023-03-01 02:22:45.409000+00:00,0.0,0.0,266.0,2.0,194.0,3.0,74.0,2.0
2023-03-01 02:22:50.409000+00:00,0.0,0.0,312.0,8.0,228.0,5.0,85.0,1.0
2023-03-01 02:22:55.409000+00:00,0.0,0.0,325.0,3.0,237.0,3.0,90.0,2.0
2023-03-01 02:23:00.409000+00:00,0.0,0.0,364.0,5.0,266.0,5.0,103.0,1.0
2023-03-01 02:23:05.409000+00:00,0.0,0.0,426.0,12.0,311.0,15.0,118.0,1.0
2023-03-01 02:23:10.409000+00:00,0.0,0.0,453.0,5.0,331.0,5.0,123.0,1.0
2023-03-01 02:23:15.409000+00:00,0.0,0.0,493.0,6.0,360.0,5.0,135.0,2.0
2023-03-01 02:23:20.409000+00:00,0.0,0.0,543.0,10.0,396.0,6.0,148.0,0.0
2023-03-01 02:23:25.409000+00:00,0.0,0.0,557.0,2.0,406.0,1.0,153.0,2.0
2023-03-01 02:23:30.409000+00:00,0.0,0.0,619.0,10.0,452.0,14.0,171.0,3.0
2023-03-01 02:23:35.409000+00:00,0.0,0.0,660.0,5.0,482.0,2.0,184.0,3.0
2023-03-01 02:23:40.409000+00:00,0.0,0.0,705.0,5.0,515.0,5.0,190.0,1.0
2023-03-01 02:23:45.409000+00:00,0.0,0.0,733.0,6.0,536.0,2.0,199.0,4.0
2023-03-01 02:23:50.409000+00:00,0.0,0.0,803.0,5.0,587.0,7.0,217.0,4.0
