timestamp,rt_cart_get_catalogue_count,rt_cart_get_catalogue_sum,rt_ratings_get_catalogue_count,rt_ratings_get_catalogue_sum
2023-03-20 09:33:30.408000+00:00,40.0,,0.0,
2023-03-20 09:33:35.408000+00:00,43.0,1.0,0.0,0.0
2023-03-20 09:33:40.408000+00:00,46.0,1.0,0.0,0.0
2023-03-20 09:33:45.408000+00:00,48.0,2.0,0.0,0.0
2023-03-20 09:33:50.408000+00:00,49.0,1.0,0.0,0.0
2023-03-20 09:33:55.408000+00:00,52.0,1.0,0.0,0.0
2023-03-20 09:34:00.408000+00:00,52.0,0.0,0.0,0.0
2023-03-20 09:34:05.408000+00:00,54.0,0.0,0.0,0.0
2023-03-20 09:34:10.408000+00:00,58.0,1.0,0.0,0.0
2023-03-20 09:34:15.408000+00:00,58.0,0.0,0.0,0.0
2023-03-20 09:34:20.408000+00:00,60.0,0.0,0.0,0.0
2023-03-20 09:34:25.408000+00:00,64.0,8.0,0.0,0.0
2023-03-20 09:34:30.408000+00:00,71.0,2.0,0.0,0.0
2023-03-20 09:34:35.408000+00:00,76.0,2.0,0.0,0.0
2023-03-20 09:34:40.408000+00:00,82.0,4.0,0.0,0.0
2023-03-20 09:34:45.408000+00:00,87.0,3.0,0.0,0.0
2023-03-20 09:34:50.408000+00:00,92.0,2.0,0.0,0.0
2023-03-20 09:34:55.408000+00:00,94.0,1.0,1.0,0.007116
2023-03-20 09:35:00.408000+00:00,96.0,0.0,1.0,0.0
2023-03-20 09:35:05.408000+00:00,98.0,1.0,3.0,0.0
2023-03-20 09:35:10.408000+00:00,98.0,0.0,3.0,0.0
2023-03-20 09:35:15.408000+00:00,104.0,0.0,5.0,0.013361999999999985
2023-03-20 09:35:20.408000+00:00,108.0,1.0,7.0,0.014564000000000021
2023-03-20 09:35:25.408000+00:00,108.0,0.0,7.0,0.0
2023-03-20 09:35:30.408000+00:00,110.0,2.0,8.0,0.00645399999999996
2023-03-20 09:35:35.408000+00:00,112.0,0.0,8.0,0.0
2023-03-20 09:35:40.408000+00:00,118.0,3.0,10.0,0.016452000000000244
2023-03-20 09:35:45.408000+00:00,120.0,1.0,10.0,0.0
2023-03-20 09:35:50.408000+00:00,122.0,2.0,11.0,0.006530000000000147
2023-03-20 09:35:55.408000+00:00,124.0,1.0,11.0,0.0
2023-03-20 09:36:00.408000+00:00,126.0,1.0,12.0,0.006612999999999869
2023-03-20 09:36:05.408000+00:00,130.0,1.0,15.0,0.019131999999999927
2023-03-20 09:36:10.408000+00:00,132.0,0.0,15.0,0.0
2023-03-20 09:36:15.408000+00:00,134.0,0.0,15.0,0.0
2023-03-20 09:36:20.408000+00:00,140.0,1.0,15.0,0.0
2023-03-20 09:36:25.408000+00:00,142.0,1.0,16.0,0.006576999999999944
2023-03-20 09:36:30.408000+00:00,150.0,3.0,16.0,0.0
2023-03-20 09:36:35.408000+00:00,156.0,2.0,18.0,0.0136369999999999
2023-03-20 09:36:40.408000+00:00,160.0,0.0,20.0,0.013168999999999875
2023-03-20 09:36:45.408000+00:00,160.0,0.0,20.0,0.0
2023-03-20 09:36:50.408000+00:00,164.0,3.0,22.0,0.011900000000000022
2023-03-20 09:36:55.408000+00:00,166.0,1.0,23.0,0.006357999999999975
2023-03-20 09:37:00.408000+00:00,174.0,4.0,24.0,0.00622900000000004
2023-03-20 09:37:05.408000+00:00,176.0,0.0,24.0,0.0
2023-03-20 09:37:10.408000+00:00,180.0,2.0,27.0,0.01938799999999996
2023-03-20 09:37:15.408000+00:00,182.0,2.0,27.0,0.0
2023-03-20 09:37:20.408000+00:00,182.0,0.0,27.0,0.0
2023-03-20 09:37:25.408000+00:00,186.0,1.0,28.0,0.031133999999999995
2023-03-20 09:37:30.408000+00:00,192.0,1.0,29.0,0.006323999999999996
2023-03-20 09:37:35.408000+00:00,194.0,1.0,29.0,0.0
2023-03-20 09:37:40.408000+00:00,196.0,2.0,29.0,0.0
2023-03-20 09:37:45.408000+00:00,198.0,0.0,30.0,0.007183999999999968
2023-03-20 09:37:50.408000+00:00,200.0,0.0,31.0,0.0062869999999999315
2023-03-20 09:37:55.408000+00:00,206.0,3.0,33.0,0.014903
2023-03-20 09:38:00.408000+00:00,210.0,1.0,33.0,0.0
2023-03-20 09:38:05.408000+00:00,216.0,4.0,35.0,0.014117999999999964
2023-03-20 09:38:10.408000+00:00,218.0,0.0,35.0,0.0
2023-03-20 09:38:15.408000+00:00,222.0,0.0,35.0,0.0
2023-03-20 09:38:20.408000+00:00,224.0,1.0,35.0,0.0
2023-03-20 09:38:25.408000+00:00,228.0,3.0,36.0,0.006214000000000053
2023-03-20 09:38:30.408000+00:00,236.0,1.0,41.0,0.03076100000000004
2023-03-20 09:38:35.408000+00:00,238.0,0.0,42.0,0.0061189999999999856
2023-03-20 09:38:40.408000+00:00,240.0,1.0,42.0,0.0
2023-03-20 09:38:45.408000+00:00,246.0,0.0,45.0,0.018057999999999907
2023-03-20 09:38:50.408000+00:00,250.0,3.0,45.0,0.0
2023-03-20 09:38:55.408000+00:00,250.0,0.0,45.0,0.0
2023-03-20 09:39:00.408000+00:00,256.0,2.0,47.0,0.012243000000000004
2023-03-20 09:39:05.408000+00:00,262.0,3.0,48.0,0.006184999999999996
2023-03-20 09:39:10.408000+00:00,264.0,0.0,50.0,0.012202000000000046
2023-03-20 09:39:15.408000+00:00,270.0,1.0,50.0,0.0
2023-03-20 09:39:20.408000+00:00,279.0,2.0,53.0,0.024680999999999953
2023-03-20 09:39:25.408000+00:00,284.0,2.0,54.0,0.0066230000000000455
2023-03-20 09:39:30.408000+00:00,286.0,0.0,54.0,0.0
2023-03-20 09:39:35.408000+00:00,290.0,3.0,54.0,0.0
2023-03-20 09:39:40.408000+00:00,292.0,0.0,54.0,0.0
2023-03-20 09:39:45.408000+00:00,296.0,1.0,54.0,0.0
2023-03-20 09:39:50.408000+00:00,300.0,1.0,54.0,0.0
2023-03-20 09:39:55.408000+00:00,304.0,0.0,56.0,0.012178000000000022
2023-03-20 09:40:00.408000+00:00,308.0,1.0,56.0,0.0
2023-03-20 09:40:05.408000+00:00,312.0,1.0,56.0,0.0
2023-03-20 09:40:10.408000+00:00,314.0,1.0,57.0,0.0063750000000000195
2023-03-20 09:40:15.408000+00:00,318.0,2.0,59.0,0.012449000000000043
2023-03-20 09:40:20.408000+00:00,322.0,2.0,59.0,0.0
