Unnamed: 0,timestamp,rt_cart_delete_redis_count,rt_cart_delete_redis_sum,rt_cart_get_redis_count,rt_cart_get_redis_sum,rt_cart_post_redis_count,rt_cart_post_redis_sum,rt_user_get_redis_count,rt_user_get_redis_sum
0,2023-03-29 04:00:00.408000+00:00,29.0,,218.0,,167.0,,51.0,
1,2023-03-29 04:00:05.408000+00:00,31.0,0.0,227.0,4.0,174.0,1.0,53.0,1.0
2,2023-03-29 04:00:10.408000+00:00,31.0,0.0,231.0,1.0,177.0,0.0,55.0,0.0
3,2023-03-29 04:00:15.408000+00:00,33.0,0.0,244.0,6.0,187.0,4.0,57.0,0.0
4,2023-03-29 04:00:20.408000+00:00,34.0,0.0,252.0,1.0,193.0,0.0,59.0,1.0
5,2023-03-29 04:00:25.408000+00:00,35.0,0.0,253.0,0.0,194.0,0.0,60.0,0.0
6,2023-03-29 04:00:30.408000+00:00,37.0,1.0,262.0,1.0,201.0,1.0,62.0,0.0
7,2023-03-29 04:00:35.408000+00:00,40.0,1.0,276.0,2.0,212.0,4.0,65.0,2.0
8,2023-03-29 04:00:40.408000+00:00,43.0,0.0,294.0,5.0,226.0,3.0,68.0,0.0
9,2023-03-29 04:00:45.408000+00:00,44.0,0.0,294.0,0.0,226.0,0.0,69.0,0.0
10,2023-03-29 04:00:50.408000+00:00,46.0,0.0,308.0,0.0,237.0,2.0,72.0,0.0
11,2023-03-29 04:00:55.408000+00:00,47.0,0.0,312.0,2.0,240.0,0.0,72.0,0.0
12,2023-03-29 04:01:00.408000+00:00,49.0,0.0,325.0,1.0,250.0,2.0,75.0,0.0
13,2023-03-29 04:01:05.408000+00:00,49.0,0.0,325.0,0.0,250.0,0.0,75.0,0.0
14,2023-03-29 04:01:10.408000+00:00,49.0,0.0,329.0,0.0,253.0,0.0,77.0,0.0
15,2023-03-29 04:01:15.408000+00:00,51.0,0.0,339.0,1.0,261.0,1.0,78.0,0.0
16,2023-03-29 04:01:20.408000+00:00,51.0,0.0,343.0,0.0,264.0,1.0,79.0,1.0
