timestamp,rt_payment_delete_cart_count,rt_payment_delete_cart_sum
2023-03-20 15:21:34.727000+00:00,17.0,
2023-03-20 15:21:39.727000+00:00,18.0,9.0
2023-03-20 15:21:44.727000+00:00,18.0,0.0
2023-03-20 15:21:49.727000+00:00,19.0,9.0
2023-03-20 15:21:54.727000+00:00,21.0,18.0
2023-03-20 15:21:59.727000+00:00,24.0,28.0
2023-03-20 15:22:04.727000+00:00,26.0,19.0
2023-03-20 15:22:09.727000+00:00,27.0,10.0
2023-03-20 15:22:14.727000+00:00,28.0,9.0
2023-03-20 15:22:19.727000+00:00,28.0,0.0
2023-03-20 15:22:24.727000+00:00,29.0,10.0
2023-03-20 15:22:29.727000+00:00,30.0,10.0
2023-03-20 15:22:34.727000+00:00,32.0,19.0
2023-03-20 15:22:54.732000+00:00,38.0,54.0
2023-03-20 15:22:59.727000+00:00,38.0,0.0
2023-03-20 15:23:04.727000+00:00,41.0,32.0
2023-03-20 15:23:09.727000+00:00,42.0,8.0
2023-03-20 15:23:14.727000+00:00,44.0,25.0
2023-03-20 15:23:19.727000+00:00,45.0,10.0
2023-03-20 15:23:24.727000+00:00,46.0,9.0
2023-03-20 15:23:29.727000+00:00,48.0,21.0
2023-03-20 15:23:34.727000+00:00,49.0,9.0
2023-03-20 15:23:39.727000+00:00,51.0,19.0
2023-03-20 15:23:44.727000+00:00,53.0,17.0
2023-03-20 15:23:49.727000+00:00,57.0,48.0
2023-03-20 15:23:54.727000+00:00,58.0,9.0
2023-03-20 15:24:09.731000+00:00,62.0,36.0
2023-03-20 15:24:14.727000+00:00,64.0,18.0
2023-03-20 15:24:19.727000+00:00,65.0,8.0
2023-03-20 15:24:24.727000+00:00,66.0,9.0
2023-03-20 15:24:29.727000+00:00,68.0,19.0
2023-03-20 15:24:39.730000+00:00,72.0,37.0
2023-03-20 15:24:44.727000+00:00,73.0,8.0
2023-03-20 15:24:49.727000+00:00,74.0,9.0
2023-03-20 15:24:54.727000+00:00,75.0,8.0
2023-03-20 15:24:59.727000+00:00,76.0,9.0
2023-03-20 15:25:04.727000+00:00,77.0,9.0
2023-03-20 15:25:09.727000+00:00,77.0,0.0
2023-03-20 15:25:29.731000+00:00,86.0,86.0
2023-03-20 15:25:34.727000+00:00,87.0,12.0
2023-03-20 15:25:39.727000+00:00,87.0,0.0
2023-03-20 15:25:44.727000+00:00,90.0,32.0
2023-03-20 15:25:54.730000+00:00,94.0,41.0
2023-03-20 15:25:59.727000+00:00,94.0,0.0
2023-03-20 15:26:04.727000+00:00,95.0,9.0
2023-03-20 15:26:09.727000+00:00,98.0,28.0
2023-03-20 15:26:14.727000+00:00,98.0,0.0
2023-03-20 15:26:19.727000+00:00,102.0,36.0
2023-03-20 15:26:24.727000+00:00,104.0,20.0
2023-03-20 15:26:29.727000+00:00,108.0,38.0
2023-03-20 15:26:34.727000+00:00,109.0,10.0
2023-03-20 15:26:39.727000+00:00,109.0,0.0
2023-03-20 15:26:44.727000+00:00,110.0,9.0
2023-03-20 15:26:49.727000+00:00,111.0,8.0
2023-03-20 15:26:54.727000+00:00,113.0,20.0
2023-03-20 15:26:59.727000+00:00,113.0,0.0
2023-03-20 15:27:04.727000+00:00,114.0,14.0
2023-03-20 15:27:19.730000+00:00,118.0,40.0
2023-03-20 15:27:34.731000+00:00,121.0,34.0
2023-03-20 15:27:39.727000+00:00,123.0,20.0
2023-03-20 15:27:44.727000+00:00,124.0,11.0
2023-03-20 15:27:49.727000+00:00,125.0,8.0
