timestamp,rt_cart_delete_redis_count,rt_cart_delete_redis_sum,rt_cart_get_redis_count,rt_cart_get_redis_sum,rt_cart_post_redis_count,rt_cart_post_redis_sum,rt_user_get_redis_count,rt_user_get_redis_sum
2023-03-20 15:21:30.408000+00:00,16.0,,303.0,,223.0,,82.0,
2023-03-20 15:21:35.408000+00:00,17.0,0.0,308.0,1.0,227.0,1.0,83.0,0.0
2023-03-20 15:21:40.408000+00:00,18.0,1.0,309.0,0.0,228.0,0.0,83.0,0.0
2023-03-20 15:21:45.408000+00:00,18.0,0.0,309.0,0.0,228.0,0.0,84.0,0.0
2023-03-20 15:21:50.408000+00:00,19.0,0.0,317.0,2.0,234.0,0.0,85.0,0.0
2023-03-20 15:21:55.408000+00:00,20.0,1.0,327.0,1.0,242.0,0.0,88.0,1.0
2023-03-20 15:22:00.408000+00:00,23.0,0.0,335.0,1.0,248.0,1.0,89.0,0.0
2023-03-20 15:22:05.408000+00:00,26.0,1.0,344.0,3.0,255.0,2.0,91.0,0.0
2023-03-20 15:22:10.408000+00:00,26.0,0.0,355.0,2.0,263.0,2.0,94.0,0.0
2023-03-20 15:22:15.408000+00:00,28.0,1.0,355.0,0.0,263.0,0.0,94.0,0.0
2023-03-20 15:22:20.408000+00:00,28.0,0.0,359.0,0.0,266.0,0.0,95.0,0.0
2023-03-20 15:22:25.408000+00:00,28.0,0.0,363.0,2.0,269.0,0.0,96.0,0.0
2023-03-20 15:22:30.408000+00:00,29.0,1.0,374.0,2.0,277.0,0.0,99.0,0.0
2023-03-20 15:22:35.408000+00:00,31.0,0.0,376.0,0.0,279.0,0.0,99.0,0.0
2023-03-20 15:22:40.408000+00:00,33.0,0.0,391.0,1.0,291.0,1.0,103.0,1.0
2023-03-20 15:22:45.408000+00:00,33.0,0.0,401.0,4.0,299.0,0.0,104.0,0.0
2023-03-20 15:22:50.408000+00:00,35.0,1.0,405.0,0.0,302.0,1.0,105.0,0.0
2023-03-20 15:22:55.408000+00:00,38.0,2.0,405.0,0.0,302.0,0.0,105.0,0.0
2023-03-20 15:23:00.408000+00:00,38.0,0.0,405.0,0.0,302.0,0.0,105.0,0.0
2023-03-20 15:23:05.408000+00:00,39.0,1.0,417.0,2.0,311.0,3.0,108.0,0.0
2023-03-20 15:23:10.408000+00:00,41.0,1.0,426.0,0.0,318.0,4.0,110.0,0.0
2023-03-20 15:23:15.408000+00:00,43.0,1.0,431.0,1.0,322.0,0.0,111.0,0.0
2023-03-20 15:23:20.408000+00:00,44.0,0.0,435.0,0.0,325.0,1.0,112.0,0.0
2023-03-20 15:23:25.408000+00:00,45.0,1.0,448.0,2.0,335.0,1.0,116.0,1.0
2023-03-20 15:23:30.408000+00:00,47.0,0.0,457.0,1.0,342.0,1.0,119.0,0.0
2023-03-20 15:23:35.408000+00:00,48.0,1.0,469.0,0.0,351.0,0.0,120.0,0.0
2023-03-20 15:23:40.408000+00:00,50.0,1.0,476.0,0.0,357.0,0.0,121.0,0.0
2023-03-20 15:23:45.408000+00:00,53.0,1.0,498.0,2.0,374.0,3.0,126.0,1.0
2023-03-20 15:23:50.408000+00:00,56.0,0.0,508.0,1.0,382.0,1.0,128.0,0.0
2023-03-20 15:23:55.408000+00:00,57.0,1.0,521.0,2.0,392.0,3.0,131.0,2.0
2023-03-20 15:24:00.408000+00:00,58.0,1.0,531.0,1.0,400.0,0.0,133.0,0.0
2023-03-20 15:24:05.408000+00:00,58.0,0.0,535.0,3.0,403.0,1.0,135.0,0.0
2023-03-20 15:24:10.408000+00:00,59.0,1.0,546.0,3.0,411.0,2.0,137.0,0.0
2023-03-20 15:24:15.408000+00:00,64.0,0.0,552.0,1.0,416.0,1.0,138.0,0.0
2023-03-20 15:24:20.408000+00:00,65.0,1.0,557.0,3.0,420.0,0.0,140.0,0.0
2023-03-20 15:24:25.408000+00:00,66.0,0.0,561.0,2.0,423.0,0.0,141.0,0.0
2023-03-20 15:24:30.408000+00:00,68.0,0.0,578.0,0.0,436.0,3.0,144.0,0.0
2023-03-20 15:24:35.408000+00:00,69.0,0.0,589.0,2.0,445.0,2.0,146.0,0.0
2023-03-20 15:24:40.408000+00:00,71.0,1.0,598.0,1.0,452.0,2.0,149.0,0.0
2023-03-20 15:24:45.408000+00:00,73.0,1.0,603.0,0.0,456.0,0.0,150.0,1.0
2023-03-20 15:24:50.408000+00:00,75.0,0.0,612.0,1.0,463.0,0.0,151.0,0.0
2023-03-20 15:24:55.408000+00:00,75.0,0.0,619.0,1.0,468.0,1.0,154.0,1.0
2023-03-20 15:25:00.408000+00:00,76.0,0.0,624.0,0.0,472.0,2.0,154.0,0.0
2023-03-20 15:25:05.408000+00:00,76.0,0.0,633.0,3.0,479.0,0.0,156.0,1.0
2023-03-20 15:25:10.408000+00:00,77.0,0.0,633.0,0.0,479.0,0.0,156.0,0.0
2023-03-20 15:25:15.408000+00:00,77.0,0.0,647.0,2.0,490.0,1.0,160.0,0.0
2023-03-20 15:25:20.408000+00:00,77.0,0.0,661.0,1.0,501.0,1.0,163.0,1.0
2023-03-20 15:25:25.408000+00:00,79.0,1.0,668.0,1.0,506.0,0.0,166.0,0.0
2023-03-20 15:25:30.408000+00:00,82.0,0.0,690.0,6.0,523.0,2.0,169.0,0.0
2023-03-20 15:25:35.408000+00:00,86.0,0.0,691.0,1.0,524.0,0.0,169.0,0.0
2023-03-20 15:25:40.408000+00:00,87.0,0.0,696.0,1.0,528.0,0.0,171.0,1.0
2023-03-20 15:25:45.408000+00:00,89.0,0.0,711.0,1.0,540.0,3.0,174.0,1.0
2023-03-20 15:25:50.408000+00:00,91.0,0.0,720.0,1.0,547.0,0.0,176.0,0.0
2023-03-20 15:25:55.408000+00:00,92.0,0.0,725.0,1.0,551.0,0.0,177.0,0.0
2023-03-20 15:26:00.408000+00:00,94.0,1.0,729.0,1.0,554.0,0.0,177.0,0.0
2023-03-20 15:26:05.408000+00:00,94.0,0.0,739.0,1.0,562.0,0.0,179.0,0.0
2023-03-20 15:26:10.408000+00:00,97.0,0.0,751.0,3.0,571.0,2.0,182.0,0.0
2023-03-20 15:26:15.408000+00:00,98.0,1.0,758.0,2.0,576.0,1.0,185.0,0.0
2023-03-20 15:26:20.408000+00:00,101.0,0.0,777.0,7.0,591.0,3.0,188.0,0.0
2023-03-20 15:26:25.408000+00:00,103.0,0.0,786.0,0.0,598.0,0.0,190.0,0.0
2023-03-20 15:26:30.408000+00:00,105.0,0.0,805.0,2.0,613.0,0.0,194.0,0.0
2023-03-20 15:26:35.408000+00:00,108.0,0.0,810.0,0.0,617.0,0.0,195.0,0.0
2023-03-20 15:26:40.408000+00:00,110.0,0.0,818.0,0.0,623.0,2.0,197.0,0.0
2023-03-20 15:26:45.408000+00:00,110.0,0.0,818.0,0.0,623.0,0.0,198.0,0.0
2023-03-20 15:26:50.408000+00:00,111.0,0.0,823.0,1.0,627.0,6.0,200.0,0.0
2023-03-20 15:26:55.408000+00:00,112.0,0.0,835.0,2.0,636.0,3.0,201.0,1.0
2023-03-20 15:27:00.408000+00:00,113.0,0.0,835.0,0.0,636.0,0.0,202.0,1.0
2023-03-20 15:27:05.408000+00:00,114.0,1.0,844.0,1.0,643.0,1.0,203.0,0.0
2023-03-20 15:27:10.408000+00:00,115.0,0.0,852.0,2.0,649.0,0.0,205.0,1.0
2023-03-20 15:27:15.408000+00:00,115.0,0.0,853.0,0.0,650.0,0.0,206.0,0.0
2023-03-20 15:27:20.408000+00:00,115.0,0.0,861.0,0.0,656.0,1.0,207.0,0.0
2023-03-20 15:27:25.408000+00:00,118.0,1.0,865.0,0.0,659.0,1.0,208.0,1.0
2023-03-20 15:27:30.408000+00:00,118.0,0.0,878.0,4.0,669.0,2.0,211.0,2.0
2023-03-20 15:27:35.408000+00:00,120.0,1.0,879.0,0.0,670.0,0.0,211.0,0.0
2023-03-20 15:27:40.408000+00:00,123.0,0.0,889.0,0.0,678.0,0.0,214.0,0.0
2023-03-20 15:27:45.408000+00:00,124.0,0.0,893.0,0.0,681.0,0.0,214.0,0.0
2023-03-20 15:27:50.408000+00:00,126.0,1.0,907.0,4.0,692.0,3.0,217.0,1.0
2023-03-20 15:27:55.408000+00:00,127.0,0.0,925.0,2.0,706.0,2.0,221.0,1.0
2023-03-20 15:28:00.408000+00:00,130.0,0.0,926.0,0.0,707.0,0.0,221.0,0.0
2023-03-20 15:28:05.408000+00:00,131.0,0.0,935.0,6.0,714.0,1.0,223.0,1.0
2023-03-20 15:28:10.408000+00:00,133.0,1.0,943.0,1.0,720.0,0.0,225.0,1.0
2023-03-20 15:28:15.408000+00:00,134.0,0.0,947.0,0.0,723.0,1.0,227.0,0.0
2023-03-20 15:28:20.408000+00:00,135.0,0.0,959.0,2.0,732.0,1.0,230.0,1.0
2023-03-20 15:28:25.408000+00:00,138.0,0.0,973.0,1.0,743.0,2.0,233.0,1.0
2023-03-20 15:28:30.408000+00:00,141.0,1.0,987.0,2.0,754.0,3.0,235.0,0.0
2023-03-20 15:28:35.408000+00:00,142.0,0.0,988.0,0.0,755.0,0.0,236.0,0.0
2023-03-20 15:28:40.408000+00:00,144.0,1.0,1005.0,3.0,768.0,3.0,239.0,2.0
2023-03-20 15:28:45.408000+00:00,145.0,0.0,1010.0,0.0,772.0,0.0,240.0,0.0
2023-03-20 15:28:50.408000+00:00,147.0,0.0,1021.0,2.0,781.0,2.0,242.0,0.0
2023-03-20 15:28:55.408000+00:00,148.0,0.0,1021.0,0.0,781.0,0.0,242.0,0.0
2023-03-20 15:29:00.408000+00:00,148.0,0.0,1026.0,1.0,785.0,0.0,243.0,1.0
2023-03-20 15:29:05.408000+00:00,149.0,1.0,1026.0,0.0,785.0,0.0,243.0,0.0
2023-03-20 15:29:10.408000+00:00,149.0,0.0,1026.0,0.0,785.0,0.0,244.0,1.0
2023-03-20 15:29:15.408000+00:00,150.0,0.0,1030.0,2.0,788.0,1.0,244.0,0.0
2023-03-20 15:29:20.408000+00:00,150.0,0.0,1034.0,1.0,791.0,0.0,245.0,0.0
2023-03-20 15:29:25.408000+00:00,151.0,0.0,1039.0,0.0,795.0,1.0,246.0,0.0
2023-03-20 15:29:30.408000+00:00,153.0,0.0,1052.0,0.0,805.0,2.0,249.0,0.0
2023-03-20 15:29:35.408000+00:00,153.0,0.0,1053.0,1.0,806.0,0.0,249.0,0.0
2023-03-20 15:29:40.408000+00:00,156.0,0.0,1061.0,0.0,812.0,1.0,251.0,0.0
2023-03-20 15:29:45.408000+00:00,156.0,0.0,1066.0,0.0,816.0,0.0,253.0,1.0
2023-03-20 15:29:50.408000+00:00,157.0,0.0,1070.0,1.0,819.0,0.0,253.0,0.0
2023-03-20 15:29:55.408000+00:00,157.0,0.0,1079.0,1.0,826.0,1.0,255.0,1.0
2023-03-20 15:30:00.408000+00:00,158.0,0.0,1079.0,0.0,826.0,0.0,255.0,0.0
2023-03-20 15:30:05.408000+00:00,159.0,0.0,1086.0,0.0,831.0,0.0,257.0,0.0
2023-03-20 15:30:10.408000+00:00,160.0,0.0,1095.0,0.0,838.0,1.0,259.0,0.0
2023-03-20 15:30:15.408000+00:00,160.0,0.0,1109.0,0.0,849.0,1.0,263.0,0.0
2023-03-20 15:30:20.408000+00:00,164.0,1.0,1130.0,1.0,865.0,2.0,269.0,2.0
2023-03-20 15:30:25.408000+00:00,166.0,0.0,1143.0,3.0,875.0,2.0,270.0,0.0
2023-03-20 15:30:30.408000+00:00,168.0,0.0,1152.0,0.0,882.0,2.0,273.0,2.0
2023-03-20 15:30:35.408000+00:00,171.0,0.0,1168.0,1.0,894.0,2.0,276.0,1.0
2023-03-20 15:30:40.408000+00:00,173.0,0.0,1174.0,1.0,899.0,1.0,278.0,1.0
2023-03-20 15:30:45.408000+00:00,175.0,1.0,1179.0,1.0,903.0,0.0,278.0,0.0
2023-03-20 15:30:50.408000+00:00,175.0,0.0,1182.0,0.0,905.0,0.0,279.0,1.0
2023-03-20 15:30:55.408000+00:00,176.0,0.0,1183.0,0.0,906.0,0.0,279.0,0.0
2023-03-20 15:31:00.408000+00:00,177.0,0.0,1192.0,1.0,913.0,4.0,281.0,0.0
2023-03-20 15:31:05.408000+00:00,178.0,1.0,1192.0,0.0,913.0,0.0,282.0,0.0
2023-03-20 15:31:10.408000+00:00,178.0,0.0,1196.0,0.0,916.0,1.0,282.0,0.0
